r  theta   phi  
3.06 0.942478 0.879646 
3.1 0.942478 0.911062 
3.14 0.942478 0.942478 
3.22 0.942478 0.973894 
3.3 0.942478 1.00531 
3.42 0.942478 1.03673 
3.58 0.942478 1.06814 
3.9 0.942478 1.09956 
3.94 1.00531 -1.09956 
3.62 1.00531 -1.06814 
3.42 1.00531 -1.03673 
3.34 1.00531 -1.00531 
3.22 1.00531 -0.973894 
3.18 1.00531 -0.942478 
3.1 1.00531 -0.911062 
3.06 1.00531 -0.879646 
3.02 1.00531 -0.84823 
3.02 1.00531 -0.816814 
2.98 1.00531 -0.785398 
2.98 1.00531 -0.753982 
2.94 1.00531 -0.722566 
2.94 1.00531 -0.69115 
2.94 1.00531 -0.659734 
2.94 1.00531 -0.628319 
2.94 1.00531 -0.596903 
2.98 1.00531 -0.565487 
2.98 1.00531 -0.534071 
2.98 1.00531 -0.502655 
3.02 1.00531 -0.471239 
3.02 1.00531 -0.439823 
3.06 1.00531 -0.408407 
3.1 1.00531 -0.376991 
3.14 1.00531 -0.345575 
3.14 1.00531 -0.314159 
3.18 1.00531 -0.282743 
3.26 1.00531 -0.251327 
3.3 1.00531 -0.219911 
3.34 1.00531 -0.188496 
3.38 1.00531 -0.15708 
3.42 1.00531 -0.125664 
3.46 1.00531 -0.0942478 
3.5 1.00531 -0.0628319 
3.5 1.00531 -0.0314159 
3.54 1.00531 0 
3.5 1.00531 0.0314159 
3.5 1.00531 0.0628319 
3.46 1.00531 0.0942478 
3.42 1.00531 0.125664 
3.38 1.00531 0.15708 
3.34 1.00531 0.188496 
3.3 1.00531 0.219911 
3.26 1.00531 0.251327 
3.18 1.00531 0.282743 
3.14 1.00531 0.314159 
3.14 1.00531 0.345575 
3.1 1.00531 0.376991 
3.06 1.00531 0.408407 
3.02 1.00531 0.439823 
3.02 1.00531 0.471239 
2.98 1.00531 0.502655 
2.98 1.00531 0.534071 
2.98 1.00531 0.565487 
2.94 1.00531 0.596903 
2.94 1.00531 0.628319 
2.94 1.00531 0.659734 
2.94 1.00531 0.69115 
2.94 1.00531 0.722566 
2.98 1.00531 0.753982 
2.98 1.00531 0.785398 
3.02 1.00531 0.816814 
3.02 1.00531 0.84823 
3.06 1.00531 0.879646 
3.1 1.00531 0.911062 
3.18 1.00531 0.942478 
3.22 1.00531 0.973894 
3.34 1.00531 1.00531 
3.42 1.00531 1.03673 
3.62 1.00531 1.06814 
3.94 1.00531 1.09956 
3.62 1.06814 -1.06814 
3.46 1.06814 -1.03673 
3.34 1.06814 -1.00531 
3.26 1.06814 -0.973894 
3.18 1.06814 -0.942478 
3.14 1.06814 -0.911062 
3.1 1.06814 -0.879646 
3.06 1.06814 -0.84823 
3.02 1.06814 -0.816814 
3.02 1.06814 -0.785398 
2.98 1.06814 -0.753982 
2.98 1.06814 -0.722566 
2.98 1.06814 -0.69115 
2.98 1.06814 -0.659734 
2.98 1.06814 -0.628319 
2.98 1.06814 -0.596903 
3.02 1.06814 -0.565487 
3.02 1.06814 -0.534071 
3.02 1.06814 -0.502655 
3.06 1.06814 -0.471239 
3.1 1.06814 -0.439823 
3.14 1.06814 -0.408407 
3.18 1.06814 -0.376991 
3.22 1.06814 -0.345575 
3.26 1.06814 -0.314159 
3.3 1.06814 -0.282743 
3.38 1.06814 -0.251327 
3.46 1.06814 -0.219911 
3.54 1.06814 -0.188496 
3.62 1.06814 -0.15708 
3.7 1.06814 -0.125664 
3.82 1.06814 -0.0942478 
3.94 1.06814 -0.0628319 
3.94 1.06814 0.0628319 
3.82 1.06814 0.0942478 
3.7 1.06814 0.125664 
3.62 1.06814 0.15708 
3.54 1.06814 0.188496 
3.46 1.06814 0.219911 
3.38 1.06814 0.251327 
3.3 1.06814 0.282743 
3.26 1.06814 0.314159 
3.22 1.06814 0.345575 
3.18 1.06814 0.376991 
3.14 1.06814 0.408407 
3.1 1.06814 0.439823 
3.06 1.06814 0.471239 
3.02 1.06814 0.502655 
3.02 1.06814 0.534071 
3.02 1.06814 0.565487 
2.98 1.06814 0.596903 
2.98 1.06814 0.628319 
2.98 1.06814 0.659734 
2.98 1.06814 0.69115 
2.98 1.06814 0.722566 
2.98 1.06814 0.753982 
3.02 1.06814 0.785398 
3.02 1.06814 0.816814 
3.06 1.06814 0.84823 
3.1 1.06814 0.879646 
3.14 1.06814 0.911062 
3.18 1.06814 0.942478 
3.26 1.06814 0.973894 
3.34 1.06814 1.00531 
3.46 1.06814 1.03673 
3.62 1.06814 1.06814 
3.66 1.13097 -1.06814 
3.5 1.13097 -1.03673 
3.38 1.13097 -1.00531 
3.3 1.13097 -0.973894 
3.22 1.13097 -0.942478 
3.14 1.13097 -0.911062 
3.1 1.13097 -0.879646 
3.1 1.13097 -0.84823 
3.06 1.13097 -0.816814 
3.02 1.13097 -0.785398 
3.02 1.13097 -0.753982 
3.02 1.13097 -0.722566 
3.02 1.13097 -0.69115 
3.02 1.13097 -0.659734 
3.02 1.13097 -0.628319 
3.02 1.13097 -0.596903 
3.06 1.13097 -0.565487 
3.06 1.13097 -0.534071 
3.1 1.13097 -0.502655 
3.14 1.13097 -0.471239 
3.18 1.13097 -0.439823 
3.22 1.13097 -0.408407 
3.26 1.13097 -0.376991 
3.34 1.13097 -0.345575 
3.42 1.13097 -0.314159 
3.5 1.13097 -0.282743 
3.62 1.13097 -0.251327 
3.78 1.13097 -0.219911 
3.78 1.13097 0.219911 
3.62 1.13097 0.251327 
3.5 1.13097 0.282743 
3.42 1.13097 0.314159 
3.34 1.13097 0.345575 
3.26 1.13097 0.376991 
3.22 1.13097 0.408407 
3.18 1.13097 0.439823 
3.14 1.13097 0.471239 
3.1 1.13097 0.502655 
3.06 1.13097 0.534071 
3.06 1.13097 0.565487 
3.02 1.13097 0.596903 
3.02 1.13097 0.628319 
3.02 1.13097 0.659734 
3.02 1.13097 0.69115 
3.02 1.13097 0.722566 
3.02 1.13097 0.753982 
3.02 1.13097 0.785398 
3.06 1.13097 0.816814 
3.1 1.13097 0.84823 
3.1 1.13097 0.879646 
3.14 1.13097 0.911062 
3.22 1.13097 0.942478 
3.3 1.13097 0.973894 
3.38 1.13097 1.00531 
3.5 1.13097 1.03673 
3.66 1.13097 1.06814 
3.74 1.19381 -1.06814 
3.54 1.19381 -1.03673 
3.38 1.19381 -1.00531 
3.3 1.19381 -0.973894 
3.22 1.19381 -0.942478 
3.18 1.19381 -0.911062 
3.14 1.19381 -0.879646 
3.1 1.19381 -0.84823 
3.1 1.19381 -0.816814 
3.06 1.19381 -0.785398 
3.06 1.19381 -0.753982 
3.06 1.19381 -0.722566 
3.06 1.19381 -0.69115 
3.06 1.19381 -0.659734 
3.06 1.19381 -0.628319 
3.1 1.19381 -0.596903 
3.1 1.19381 -0.565487 
3.14 1.19381 -0.534071 
3.18 1.19381 -0.502655 
3.22 1.19381 -0.471239 
3.3 1.19381 -0.439823 
3.34 1.19381 -0.408407 
3.42 1.19381 -0.376991 
3.54 1.19381 -0.345575 
3.7 1.19381 -0.314159 
3.94 1.19381 -0.282743 
3.94 1.19381 0.282743 
3.7 1.19381 0.314159 
3.54 1.19381 0.345575 
3.42 1.19381 0.376991 
3.34 1.19381 0.408407 
3.3 1.19381 0.439823 
3.22 1.19381 0.471239 
3.18 1.19381 0.502655 
3.14 1.19381 0.534071 
3.1 1.19381 0.565487 
3.1 1.19381 0.596903 
3.06 1.19381 0.628319 
3.06 1.19381 0.659734 
3.06 1.19381 0.69115 
3.06 1.19381 0.722566 
3.06 1.19381 0.753982 
3.06 1.19381 0.785398 
3.1 1.19381 0.816814 
3.1 1.19381 0.84823 
3.14 1.19381 0.879646 
3.18 1.19381 0.911062 
3.22 1.19381 0.942478 
3.3 1.19381 0.973894 
3.38 1.19381 1.00531 
3.54 1.19381 1.03673 
3.74 1.19381 1.06814 
3.78 1.25664 -1.06814 
3.54 1.25664 -1.03673 
3.42 1.25664 -1.00531 
3.34 1.25664 -0.973894 
3.26 1.25664 -0.942478 
3.22 1.25664 -0.911062 
3.18 1.25664 -0.879646 
3.14 1.25664 -0.84823 
3.1 1.25664 -0.816814 
3.1 1.25664 -0.785398 
3.1 1.25664 -0.753982 
3.1 1.25664 -0.722566 
3.1 1.25664 -0.69115 
3.1 1.25664 -0.659734 
3.14 1.25664 -0.628319 
3.14 1.25664 -0.596903 
3.18 1.25664 -0.565487 
3.22 1.25664 -0.534071 
3.3 1.25664 -0.502655 
3.34 1.25664 -0.471239 
3.42 1.25664 -0.439823 
3.54 1.25664 -0.408407 
3.7 1.25664 -0.376991 
4.02 1.25664 -0.345575 
4.02 1.25664 0.345575 
3.7 1.25664 0.376991 
3.54 1.25664 0.408407 
3.42 1.25664 0.439823 
3.34 1.25664 0.471239 
3.3 1.25664 0.502655 
3.22 1.25664 0.534071 
3.18 1.25664 0.565487 
3.14 1.25664 0.596903 
3.14 1.25664 0.628319 
3.1 1.25664 0.659734 
3.1 1.25664 0.69115 
3.1 1.25664 0.722566 
3.1 1.25664 0.753982 
3.1 1.25664 0.785398 
3.1 1.25664 0.816814 
3.14 1.25664 0.84823 
3.18 1.25664 0.879646 
3.22 1.25664 0.911062 
3.26 1.25664 0.942478 
3.34 1.25664 0.973894 
3.42 1.25664 1.00531 
3.54 1.25664 1.03673 
3.78 1.25664 1.06814 
3.86 1.31947 -1.06814 
3.58 1.31947 -1.03673 
3.46 1.31947 -1.00531 
3.38 1.31947 -0.973894 
3.3 1.31947 -0.942478 
3.22 1.31947 -0.911062 
3.22 1.31947 -0.879646 
3.18 1.31947 -0.84823 
3.14 1.31947 -0.816814 
3.14 1.31947 -0.785398 
3.14 1.31947 -0.753982 
3.14 1.31947 -0.722566 
3.14 1.31947 -0.69115 
3.18 1.31947 -0.659734 
3.18 1.31947 -0.628319 
3.22 1.31947 -0.596903 
3.26 1.31947 -0.565487 
3.34 1.31947 -0.534071 
3.42 1.31947 -0.502655 
3.5 1.31947 -0.471239 
3.66 1.31947 -0.439823 
3.9 1.31947 -0.408407 
3.9 1.31947 0.408407 
3.66 1.31947 0.439823 
3.5 1.31947 0.471239 
3.42 1.31947 0.502655 
3.34 1.31947 0.534071 
3.26 1.31947 0.565487 
3.22 1.31947 0.596903 
3.18 1.31947 0.628319 
3.18 1.31947 0.659734 
3.14 1.31947 0.69115 
3.14 1.31947 0.722566 
3.14 1.31947 0.753982 
3.14 1.31947 0.785398 
3.14 1.31947 0.816814 
3.18 1.31947 0.84823 
3.22 1.31947 0.879646 
3.22 1.31947 0.911062 
3.3 1.31947 0.942478 
3.38 1.31947 0.973894 
3.46 1.31947 1.00531 
3.58 1.31947 1.03673 
3.86 1.31947 1.06814 
3.94 1.3823 -1.06814 
3.62 1.3823 -1.03673 
3.5 1.3823 -1.00531 
3.38 1.3823 -0.973894 
3.3 1.3823 -0.942478 
3.26 1.3823 -0.911062 
3.22 1.3823 -0.879646 
3.18 1.3823 -0.84823 
3.18 1.3823 -0.816814 
3.18 1.3823 -0.785398 
3.18 1.3823 -0.753982 
3.18 1.3823 -0.722566 
3.18 1.3823 -0.69115 
3.22 1.3823 -0.659734 
3.26 1.3823 -0.628319 
3.3 1.3823 -0.596903 
3.34 1.3823 -0.565487 
3.42 1.3823 -0.534071 
3.54 1.3823 -0.502655 
3.74 1.3823 -0.471239 
3.74 1.3823 0.471239 
3.54 1.3823 0.502655 
3.42 1.3823 0.534071 
3.34 1.3823 0.565487 
3.3 1.3823 0.596903 
3.26 1.3823 0.628319 
3.22 1.3823 0.659734 
3.18 1.3823 0.69115 
3.18 1.3823 0.722566 
3.18 1.3823 0.753982 
3.18 1.3823 0.785398 
3.18 1.3823 0.816814 
3.18 1.3823 0.84823 
3.22 1.3823 0.879646 
3.26 1.3823 0.911062 
3.3 1.3823 0.942478 
3.38 1.3823 0.973894 
3.5 1.3823 1.00531 
3.62 1.3823 1.03673 
3.94 1.3823 1.06814 
4.02 1.44513 -1.06814 
3.66 1.44513 -1.03673 
3.5 1.44513 -1.00531 
3.42 1.44513 -0.973894 
3.34 1.44513 -0.942478 
3.3 1.44513 -0.911062 
3.26 1.44513 -0.879646 
3.22 1.44513 -0.84823 
3.22 1.44513 -0.816814 
3.18 1.44513 -0.785398 
3.18 1.44513 -0.753982 
3.22 1.44513 -0.722566 
3.22 1.44513 -0.69115 
3.26 1.44513 -0.659734 
3.3 1.44513 -0.628319 
3.38 1.44513 -0.596903 
3.42 1.44513 -0.565487 
3.54 1.44513 -0.534071 
3.74 1.44513 -0.502655 
3.74 1.44513 0.502655 
3.54 1.44513 0.534071 
3.42 1.44513 0.565487 
3.38 1.44513 0.596903 
3.3 1.44513 0.628319 
3.26 1.44513 0.659734 
3.22 1.44513 0.69115 
3.22 1.44513 0.722566 
3.18 1.44513 0.753982 
3.18 1.44513 0.785398 
3.22 1.44513 0.816814 
3.22 1.44513 0.84823 
3.26 1.44513 0.879646 
3.3 1.44513 0.911062 
3.34 1.44513 0.942478 
3.42 1.44513 0.973894 
3.5 1.44513 1.00531 
3.66 1.44513 1.03673 
4.02 1.44513 1.06814 
3.66 1.50796 -1.03673 
3.54 1.50796 -1.00531 
3.42 1.50796 -0.973894 
3.34 1.50796 -0.942478 
3.3 1.50796 -0.911062 
3.26 1.50796 -0.879646 
3.22 1.50796 -0.84823 
3.22 1.50796 -0.816814 
3.22 1.50796 -0.785398 
3.22 1.50796 -0.753982 
3.22 1.50796 -0.722566 
3.26 1.50796 -0.69115 
3.3 1.50796 -0.659734 
3.34 1.50796 -0.628319 
3.42 1.50796 -0.596903 
3.5 1.50796 -0.565487 
3.66 1.50796 -0.534071 
3.94 1.50796 -0.502655 
3.94 1.50796 0.502655 
3.66 1.50796 0.534071 
3.5 1.50796 0.565487 
3.42 1.50796 0.596903 
3.34 1.50796 0.628319 
3.3 1.50796 0.659734 
3.26 1.50796 0.69115 
3.22 1.50796 0.722566 
3.22 1.50796 0.753982 
3.22 1.50796 0.785398 
3.22 1.50796 0.816814 
3.22 1.50796 0.84823 
3.26 1.50796 0.879646 
3.3 1.50796 0.911062 
3.34 1.50796 0.942478 
3.42 1.50796 0.973894 
3.54 1.50796 1.00531 
3.66 1.50796 1.03673 
3.7 1.5708 -1.03673 
3.54 1.5708 -1.00531 
3.42 1.5708 -0.973894 
3.34 1.5708 -0.942478 
3.3 1.5708 -0.911062 
3.26 1.5708 -0.879646 
3.26 1.5708 -0.84823 
3.22 1.5708 -0.816814 
3.22 1.5708 -0.785398 
3.22 1.5708 -0.753982 
3.26 1.5708 -0.722566 
3.26 1.5708 -0.69115 
3.3 1.5708 -0.659734 
3.34 1.5708 -0.628319 
3.42 1.5708 -0.596903 
3.54 1.5708 -0.565487 
3.7 1.5708 -0.534071 
3.7 1.5708 0.534071 
3.54 1.5708 0.565487 
3.42 1.5708 0.596903 
3.34 1.5708 0.628319 
3.3 1.5708 0.659734 
3.26 1.5708 0.69115 
3.26 1.5708 0.722566 
3.22 1.5708 0.753982 
3.22 1.5708 0.785398 
3.22 1.5708 0.816814 
3.26 1.5708 0.84823 
3.26 1.5708 0.879646 
3.3 1.5708 0.911062 
3.34 1.5708 0.942478 
3.42 1.5708 0.973894 
3.54 1.5708 1.00531 
3.7 1.5708 1.03673 
3.66 1.63363 -1.03673 
3.54 1.63363 -1.00531 
3.42 1.63363 -0.973894 
3.34 1.63363 -0.942478 
3.3 1.63363 -0.911062 
3.26 1.63363 -0.879646 
3.22 1.63363 -0.84823 
3.22 1.63363 -0.816814 
3.22 1.63363 -0.785398 
3.22 1.63363 -0.753982 
3.22 1.63363 -0.722566 
3.26 1.63363 -0.69115 
3.3 1.63363 -0.659734 
3.34 1.63363 -0.628319 
3.42 1.63363 -0.596903 
3.5 1.63363 -0.565487 
3.66 1.63363 -0.534071 
3.94 1.63363 -0.502655 
3.94 1.63363 0.502655 
3.66 1.63363 0.534071 
3.5 1.63363 0.565487 
3.42 1.63363 0.596903 
3.34 1.63363 0.628319 
3.3 1.63363 0.659734 
3.26 1.63363 0.69115 
3.22 1.63363 0.722566 
3.22 1.63363 0.753982 
3.22 1.63363 0.785398 
3.22 1.63363 0.816814 
3.22 1.63363 0.84823 
3.26 1.63363 0.879646 
3.3 1.63363 0.911062 
3.34 1.63363 0.942478 
3.42 1.63363 0.973894 
3.54 1.63363 1.00531 
3.66 1.63363 1.03673 
4.02 1.69646 -1.06814 
3.66 1.69646 -1.03673 
3.5 1.69646 -1.00531 
3.42 1.69646 -0.973894 
3.34 1.69646 -0.942478 
3.3 1.69646 -0.911062 
3.26 1.69646 -0.879646 
3.22 1.69646 -0.84823 
3.22 1.69646 -0.816814 
3.18 1.69646 -0.785398 
3.18 1.69646 -0.753982 
3.22 1.69646 -0.722566 
3.22 1.69646 -0.69115 
3.26 1.69646 -0.659734 
3.3 1.69646 -0.628319 
3.38 1.69646 -0.596903 
3.42 1.69646 -0.565487 
3.54 1.69646 -0.534071 
3.74 1.69646 -0.502655 
3.74 1.69646 0.502655 
3.54 1.69646 0.534071 
3.42 1.69646 0.565487 
3.38 1.69646 0.596903 
3.3 1.69646 0.628319 
3.26 1.69646 0.659734 
3.22 1.69646 0.69115 
3.22 1.69646 0.722566 
3.18 1.69646 0.753982 
3.18 1.69646 0.785398 
3.22 1.69646 0.816814 
3.22 1.69646 0.84823 
3.26 1.69646 0.879646 
3.3 1.69646 0.911062 
3.34 1.69646 0.942478 
3.42 1.69646 0.973894 
3.5 1.69646 1.00531 
3.66 1.69646 1.03673 
4.02 1.69646 1.06814 
3.94 1.75929 -1.06814 
3.62 1.75929 -1.03673 
3.5 1.75929 -1.00531 
3.38 1.75929 -0.973894 
3.3 1.75929 -0.942478 
3.26 1.75929 -0.911062 
3.22 1.75929 -0.879646 
3.18 1.75929 -0.84823 
3.18 1.75929 -0.816814 
3.18 1.75929 -0.785398 
3.18 1.75929 -0.753982 
3.18 1.75929 -0.722566 
3.18 1.75929 -0.69115 
3.22 1.75929 -0.659734 
3.26 1.75929 -0.628319 
3.3 1.75929 -0.596903 
3.34 1.75929 -0.565487 
3.42 1.75929 -0.534071 
3.54 1.75929 -0.502655 
3.74 1.75929 -0.471239 
3.74 1.75929 0.471239 
3.54 1.75929 0.502655 
3.42 1.75929 0.534071 
3.34 1.75929 0.565487 
3.3 1.75929 0.596903 
3.26 1.75929 0.628319 
3.22 1.75929 0.659734 
3.18 1.75929 0.69115 
3.18 1.75929 0.722566 
3.18 1.75929 0.753982 
3.18 1.75929 0.785398 
3.18 1.75929 0.816814 
3.18 1.75929 0.84823 
3.22 1.75929 0.879646 
3.26 1.75929 0.911062 
3.3 1.75929 0.942478 
3.38 1.75929 0.973894 
3.5 1.75929 1.00531 
3.62 1.75929 1.03673 
3.94 1.75929 1.06814 
3.86 1.82212 -1.06814 
3.58 1.82212 -1.03673 
3.46 1.82212 -1.00531 
3.38 1.82212 -0.973894 
3.3 1.82212 -0.942478 
3.22 1.82212 -0.911062 
3.22 1.82212 -0.879646 
3.18 1.82212 -0.84823 
3.14 1.82212 -0.816814 
3.14 1.82212 -0.785398 
3.14 1.82212 -0.753982 
3.14 1.82212 -0.722566 
3.14 1.82212 -0.69115 
3.18 1.82212 -0.659734 
3.18 1.82212 -0.628319 
3.22 1.82212 -0.596903 
3.26 1.82212 -0.565487 
3.34 1.82212 -0.534071 
3.42 1.82212 -0.502655 
3.5 1.82212 -0.471239 
3.66 1.82212 -0.439823 
3.9 1.82212 -0.408407 
3.9 1.82212 0.408407 
3.66 1.82212 0.439823 
3.5 1.82212 0.471239 
3.42 1.82212 0.502655 
3.34 1.82212 0.534071 
3.26 1.82212 0.565487 
3.22 1.82212 0.596903 
3.18 1.82212 0.628319 
3.18 1.82212 0.659734 
3.14 1.82212 0.69115 
3.14 1.82212 0.722566 
3.14 1.82212 0.753982 
3.14 1.82212 0.785398 
3.14 1.82212 0.816814 
3.18 1.82212 0.84823 
3.22 1.82212 0.879646 
3.22 1.82212 0.911062 
3.3 1.82212 0.942478 
3.38 1.82212 0.973894 
3.46 1.82212 1.00531 
3.58 1.82212 1.03673 
3.86 1.82212 1.06814 
3.78 1.88496 -1.06814 
3.54 1.88496 -1.03673 
3.42 1.88496 -1.00531 
3.34 1.88496 -0.973894 
3.26 1.88496 -0.942478 
3.22 1.88496 -0.911062 
3.18 1.88496 -0.879646 
3.14 1.88496 -0.84823 
3.1 1.88496 -0.816814 
3.1 1.88496 -0.785398 
3.1 1.88496 -0.753982 
3.1 1.88496 -0.722566 
3.1 1.88496 -0.69115 
3.1 1.88496 -0.659734 
3.14 1.88496 -0.628319 
3.14 1.88496 -0.596903 
3.18 1.88496 -0.565487 
3.22 1.88496 -0.534071 
3.3 1.88496 -0.502655 
3.34 1.88496 -0.471239 
3.42 1.88496 -0.439823 
3.54 1.88496 -0.408407 
3.7 1.88496 -0.376991 
4.02 1.88496 -0.345575 
4.02 1.88496 0.345575 
3.7 1.88496 0.376991 
3.54 1.88496 0.408407 
3.42 1.88496 0.439823 
3.34 1.88496 0.471239 
3.3 1.88496 0.502655 
3.22 1.88496 0.534071 
3.18 1.88496 0.565487 
3.14 1.88496 0.596903 
3.14 1.88496 0.628319 
3.1 1.88496 0.659734 
3.1 1.88496 0.69115 
3.1 1.88496 0.722566 
3.1 1.88496 0.753982 
3.1 1.88496 0.785398 
3.1 1.88496 0.816814 
3.14 1.88496 0.84823 
3.18 1.88496 0.879646 
3.22 1.88496 0.911062 
3.26 1.88496 0.942478 
3.34 1.88496 0.973894 
3.42 1.88496 1.00531 
3.54 1.88496 1.03673 
3.78 1.88496 1.06814 
3.74 1.94779 -1.06814 
3.54 1.94779 -1.03673 
3.38 1.94779 -1.00531 
3.3 1.94779 -0.973894 
3.22 1.94779 -0.942478 
3.18 1.94779 -0.911062 
3.14 1.94779 -0.879646 
3.1 1.94779 -0.84823 
3.1 1.94779 -0.816814 
3.06 1.94779 -0.785398 
3.06 1.94779 -0.753982 
3.06 1.94779 -0.722566 
3.06 1.94779 -0.69115 
3.06 1.94779 -0.659734 
3.06 1.94779 -0.628319 
3.1 1.94779 -0.596903 
3.1 1.94779 -0.565487 
3.14 1.94779 -0.534071 
3.18 1.94779 -0.502655 
3.22 1.94779 -0.471239 
3.3 1.94779 -0.439823 
3.34 1.94779 -0.408407 
3.42 1.94779 -0.376991 
3.54 1.94779 -0.345575 
3.7 1.94779 -0.314159 
3.94 1.94779 -0.282743 
3.94 1.94779 0.282743 
3.7 1.94779 0.314159 
3.54 1.94779 0.345575 
3.42 1.94779 0.376991 
3.34 1.94779 0.408407 
3.3 1.94779 0.439823 
3.22 1.94779 0.471239 
3.18 1.94779 0.502655 
3.14 1.94779 0.534071 
3.1 1.94779 0.565487 
3.1 1.94779 0.596903 
3.06 1.94779 0.628319 
3.06 1.94779 0.659734 
3.06 1.94779 0.69115 
3.06 1.94779 0.722566 
3.06 1.94779 0.753982 
3.06 1.94779 0.785398 
3.1 1.94779 0.816814 
3.1 1.94779 0.84823 
3.14 1.94779 0.879646 
3.18 1.94779 0.911062 
3.22 1.94779 0.942478 
3.3 1.94779 0.973894 
3.38 1.94779 1.00531 
3.54 1.94779 1.03673 
3.74 1.94779 1.06814 
3.66 2.01062 -1.06814 
3.5 2.01062 -1.03673 
3.38 2.01062 -1.00531 
3.3 2.01062 -0.973894 
3.22 2.01062 -0.942478 
3.14 2.01062 -0.911062 
3.1 2.01062 -0.879646 
3.1 2.01062 -0.84823 
3.06 2.01062 -0.816814 
3.02 2.01062 -0.785398 
3.02 2.01062 -0.753982 
3.02 2.01062 -0.722566 
3.02 2.01062 -0.69115 
3.02 2.01062 -0.659734 
3.02 2.01062 -0.628319 
3.02 2.01062 -0.596903 
3.06 2.01062 -0.565487 
3.06 2.01062 -0.534071 
3.1 2.01062 -0.502655 
3.14 2.01062 -0.471239 
3.18 2.01062 -0.439823 
3.22 2.01062 -0.408407 
3.26 2.01062 -0.376991 
3.34 2.01062 -0.345575 
3.42 2.01062 -0.314159 
3.5 2.01062 -0.282743 
3.62 2.01062 -0.251327 
3.78 2.01062 -0.219911 
3.78 2.01062 0.219911 
3.62 2.01062 0.251327 
3.5 2.01062 0.282743 
3.42 2.01062 0.314159 
3.34 2.01062 0.345575 
3.26 2.01062 0.376991 
3.22 2.01062 0.408407 
3.18 2.01062 0.439823 
3.14 2.01062 0.471239 
3.1 2.01062 0.502655 
3.06 2.01062 0.534071 
3.06 2.01062 0.565487 
3.02 2.01062 0.596903 
3.02 2.01062 0.628319 
3.02 2.01062 0.659734 
3.02 2.01062 0.69115 
3.02 2.01062 0.722566 
3.02 2.01062 0.753982 
3.02 2.01062 0.785398 
3.06 2.01062 0.816814 
3.1 2.01062 0.84823 
3.1 2.01062 0.879646 
3.14 2.01062 0.911062 
3.22 2.01062 0.942478 
3.3 2.01062 0.973894 
3.38 2.01062 1.00531 
3.5 2.01062 1.03673 
3.66 2.01062 1.06814 
3.62 2.07345 -1.06814 
3.46 2.07345 -1.03673 
3.34 2.07345 -1.00531 
3.26 2.07345 -0.973894 
3.18 2.07345 -0.942478 
3.14 2.07345 -0.911062 
3.1 2.07345 -0.879646 
3.06 2.07345 -0.84823 
3.02 2.07345 -0.816814 
3.02 2.07345 -0.785398 
2.98 2.07345 -0.753982 
2.98 2.07345 -0.722566 
2.98 2.07345 -0.69115 
2.98 2.07345 -0.659734 
2.98 2.07345 -0.628319 
2.98 2.07345 -0.596903 
3.02 2.07345 -0.565487 
3.02 2.07345 -0.534071 
3.02 2.07345 -0.502655 
3.06 2.07345 -0.471239 
3.1 2.07345 -0.439823 
3.14 2.07345 -0.408407 
3.18 2.07345 -0.376991 
3.22 2.07345 -0.345575 
3.26 2.07345 -0.314159 
3.3 2.07345 -0.282743 
3.38 2.07345 -0.251327 
3.46 2.07345 -0.219911 
3.54 2.07345 -0.188496 
3.62 2.07345 -0.15708 
3.7 2.07345 -0.125664 
3.82 2.07345 -0.0942478 
3.94 2.07345 -0.0628319 
3.94 2.07345 0.0628319 
3.82 2.07345 0.0942478 
3.7 2.07345 0.125664 
3.62 2.07345 0.15708 
3.54 2.07345 0.188496 
3.46 2.07345 0.219911 
3.38 2.07345 0.251327 
3.3 2.07345 0.282743 
3.26 2.07345 0.314159 
3.22 2.07345 0.345575 
3.18 2.07345 0.376991 
3.14 2.07345 0.408407 
3.1 2.07345 0.439823 
3.06 2.07345 0.471239 
3.02 2.07345 0.502655 
3.02 2.07345 0.534071 
3.02 2.07345 0.565487 
2.98 2.07345 0.596903 
2.98 2.07345 0.628319 
2.98 2.07345 0.659734 
2.98 2.07345 0.69115 
2.98 2.07345 0.722566 
2.98 2.07345 0.753982 
3.02 2.07345 0.785398 
3.02 2.07345 0.816814 
3.06 2.07345 0.84823 
3.1 2.07345 0.879646 
3.14 2.07345 0.911062 
3.18 2.07345 0.942478 
3.26 2.07345 0.973894 
3.34 2.07345 1.00531 
3.46 2.07345 1.03673 
3.62 2.07345 1.06814 
3.94 2.13628 -1.09956 
3.62 2.13628 -1.06814 
3.42 2.13628 -1.03673 
3.34 2.13628 -1.00531 
3.22 2.13628 -0.973894 
3.18 2.13628 -0.942478 
3.1 2.13628 -0.911062 
3.06 2.13628 -0.879646 
3.02 2.13628 -0.84823 
3.02 2.13628 -0.816814 
2.98 2.13628 -0.785398 
2.98 2.13628 -0.753982 
2.94 2.13628 -0.722566 
2.94 2.13628 -0.69115 
2.94 2.13628 -0.659734 
2.94 2.13628 -0.628319 
2.94 2.13628 -0.596903 
2.98 2.13628 -0.565487 
2.98 2.13628 -0.534071 
2.98 2.13628 -0.502655 
3.02 2.13628 -0.471239 
3.02 2.13628 -0.439823 
3.06 2.13628 -0.408407 
3.1 2.13628 -0.376991 
3.14 2.13628 -0.345575 
3.14 2.13628 -0.314159 
3.18 2.13628 -0.282743 
3.26 2.13628 -0.251327 
