r  theta   phi  
3.22 0.314159 -0.534071 
3.3 0.314159 -0.502655 
3.34 0.314159 -0.471239 
3.42 0.314159 -0.439823 
3.54 0.314159 -0.408407 
3.7 0.314159 -0.376991 
4.02 0.314159 -0.345575 
4.02 0.314159 0.345575 
3.7 0.314159 0.376991 
3.54 0.314159 0.408407 
3.42 0.314159 0.439823 
3.34 0.314159 0.471239 
3.3 0.314159 0.502655 
3.22 0.314159 0.534071 
3.18 0.314159 0.565487 
3.14 0.314159 0.596903 
3.14 0.314159 0.628319 
3.1 0.314159 0.659734 
3.1 0.314159 0.69115 
3.1 0.314159 0.722566 
3.1 0.314159 0.753982 
3.1 0.314159 0.785398 
3.1 0.314159 0.816814 
3.14 0.314159 0.84823 
3.18 0.314159 0.879646 
3.22 0.314159 0.911062 
3.26 0.314159 0.942478 
3.34 0.314159 0.973894 
3.42 0.314159 1.00531 
3.54 0.314159 1.03673 
3.78 0.314159 1.06814 
3.74 0.376991 -1.06814 
3.54 0.376991 -1.03673 
3.38 0.376991 -1.00531 
3.3 0.376991 -0.973894 
3.22 0.376991 -0.942478 
3.18 0.376991 -0.911062 
3.14 0.376991 -0.879646 
3.1 0.376991 -0.84823 
3.1 0.376991 -0.816814 
3.06 0.376991 -0.785398 
3.06 0.376991 -0.753982 
3.06 0.376991 -0.722566 
3.06 0.376991 -0.69115 
3.06 0.376991 -0.659734 
3.06 0.376991 -0.628319 
3.1 0.376991 -0.596903 
3.1 0.376991 -0.565487 
3.14 0.376991 -0.534071 
3.18 0.376991 -0.502655 
3.22 0.376991 -0.471239 
3.3 0.376991 -0.439823 
3.34 0.376991 -0.408407 
3.42 0.376991 -0.376991 
3.54 0.376991 -0.345575 
3.7 0.376991 -0.314159 
3.94 0.376991 -0.282743 
3.94 0.376991 0.282743 
3.7 0.376991 0.314159 
3.54 0.376991 0.345575 
3.42 0.376991 0.376991 
3.34 0.376991 0.408407 
3.3 0.376991 0.439823 
3.22 0.376991 0.471239 
3.18 0.376991 0.502655 
3.14 0.376991 0.534071 
3.1 0.376991 0.565487 
3.1 0.376991 0.596903 
3.06 0.376991 0.628319 
3.06 0.376991 0.659734 
3.06 0.376991 0.69115 
3.06 0.376991 0.722566 
3.06 0.376991 0.753982 
3.06 0.376991 0.785398 
3.1 0.376991 0.816814 
3.1 0.376991 0.84823 
3.14 0.376991 0.879646 
3.18 0.376991 0.911062 
3.22 0.376991 0.942478 
3.3 0.376991 0.973894 
3.38 0.376991 1.00531 
3.54 0.376991 1.03673 
3.74 0.376991 1.06814 
3.66 0.439823 -1.06814 
3.5 0.439823 -1.03673 
3.38 0.439823 -1.00531 
3.3 0.439823 -0.973894 
3.22 0.439823 -0.942478 
3.14 0.439823 -0.911062 
3.1 0.439823 -0.879646 
3.1 0.439823 -0.84823 
3.06 0.439823 -0.816814 
3.02 0.439823 -0.785398 
3.02 0.439823 -0.753982 
3.02 0.439823 -0.722566 
3.02 0.439823 -0.69115 
3.02 0.439823 -0.659734 
3.02 0.439823 -0.628319 
3.02 0.439823 -0.596903 
3.06 0.439823 -0.565487 
3.06 0.439823 -0.534071 
3.1 0.439823 -0.502655 
3.14 0.439823 -0.471239 
3.18 0.439823 -0.439823 
3.22 0.439823 -0.408407 
3.26 0.439823 -0.376991 
3.34 0.439823 -0.345575 
3.42 0.439823 -0.314159 
3.5 0.439823 -0.282743 
3.62 0.439823 -0.251327 
3.78 0.439823 -0.219911 
3.78 0.439823 0.219911 
3.62 0.439823 0.251327 
3.5 0.439823 0.282743 
3.42 0.439823 0.314159 
3.34 0.439823 0.345575 
3.26 0.439823 0.376991 
3.22 0.439823 0.408407 
3.18 0.439823 0.439823 
3.14 0.439823 0.471239 
3.1 0.439823 0.502655 
3.06 0.439823 0.534071 
3.06 0.439823 0.565487 
3.02 0.439823 0.596903 
3.02 0.439823 0.628319 
3.02 0.439823 0.659734 
3.02 0.439823 0.69115 
3.02 0.439823 0.722566 
3.02 0.439823 0.753982 
3.02 0.439823 0.785398 
3.06 0.439823 0.816814 
3.1 0.439823 0.84823 
3.1 0.439823 0.879646 
3.14 0.439823 0.911062 
3.22 0.439823 0.942478 
3.3 0.439823 0.973894 
3.38 0.439823 1.00531 
3.5 0.439823 1.03673 
3.66 0.439823 1.06814 
3.62 0.502655 -1.06814 
3.46 0.502655 -1.03673 
3.34 0.502655 -1.00531 
3.26 0.502655 -0.973894 
3.18 0.502655 -0.942478 
3.14 0.502655 -0.911062 
3.1 0.502655 -0.879646 
3.06 0.502655 -0.84823 
3.02 0.502655 -0.816814 
3.02 0.502655 -0.785398 
2.98 0.502655 -0.753982 
2.98 0.502655 -0.722566 
2.98 0.502655 -0.69115 
2.98 0.502655 -0.659734 
2.98 0.502655 -0.628319 
2.98 0.502655 -0.596903 
3.02 0.502655 -0.565487 
3.02 0.502655 -0.534071 
3.02 0.502655 -0.502655 
3.06 0.502655 -0.471239 
3.1 0.502655 -0.439823 
3.14 0.502655 -0.408407 
3.18 0.502655 -0.376991 
3.22 0.502655 -0.345575 
3.26 0.502655 -0.314159 
3.3 0.502655 -0.282743 
3.38 0.502655 -0.251327 
3.46 0.502655 -0.219911 
3.54 0.502655 -0.188496 
3.62 0.502655 -0.15708 
3.7 0.502655 -0.125664 
3.82 0.502655 -0.0942478 
3.94 0.502655 -0.0628319 
3.94 0.502655 0.0628319 
3.82 0.502655 0.0942478 
3.7 0.502655 0.125664 
3.62 0.502655 0.15708 
3.54 0.502655 0.188496 
3.46 0.502655 0.219911 
3.38 0.502655 0.251327 
3.3 0.502655 0.282743 
3.26 0.502655 0.314159 
3.22 0.502655 0.345575 
3.18 0.502655 0.376991 
3.14 0.502655 0.408407 
3.1 0.502655 0.439823 
3.06 0.502655 0.471239 
3.02 0.502655 0.502655 
3.02 0.502655 0.534071 
3.02 0.502655 0.565487 
2.98 0.502655 0.596903 
2.98 0.502655 0.628319 
2.98 0.502655 0.659734 
2.98 0.502655 0.69115 
2.98 0.502655 0.722566 
